model_id;response_id;circuit_id;relax.synergy;train.synergy;test.synergy;verify.synergy;relax.causation;train.causation;test.causation;verify.causation;relax.redundancy;train.redundancy;test.redundancy;verify.redundancy;relax.integrated;train.integrated;test.integrated;verify.integrated;relax.emergence;train.emergence;test.emergence;verify.mergence
10;1;22;7.741349438178391e-06;-5.97457534887158e-06;9.372944767771507e-06;7.746556037191432e-06;1.767878545111401e-06;7.5789064678255524e-06;-5.849080967984532e-06;9.176636864616228e-06;7.584069975002938e-06;1.7301709495931572e-06;7.838195307502405e-06;-6.037858720220335e-06;9.455187717333224e-06;7.84449476995408e-06;1.8003187678972132e-06;nan;nan;nan;nan;nan
10;1;23;0.00014858488182334373;-0.00014019635425369104;0.0002771450913419127;0.00015198750975017883;8.17265663832778e-06;0.00014625731815126608;-0.00013861338706597226;0.00027569193268006664;0.00015028257527407995;7.647857258652468e-06;0.00014664126734692529;-0.0001389594518496906;0.0002762776876686912;0.00015065679796216758;7.681842220663704e-06;nan;nan;nan;nan;nan
10;1;24;3.43563424531001;-0.0004645425397253322;1.2272943634983324e-06;3.435760020212176;3.4351699274143956;3.4353567240254663;-0.00046321761631140657;1.2238010276971467e-06;3.435481641719128;3.4348933559113832;3.433053742800535;-0.00046280507369622637;1.2228604394370901e-06;3.43317635035603;3.432590992894572;nan;nan;nan;nan;nan
10;1;25;2.908383810575381;-0.0001837523517396189;2.5214620370805907e-07;2.9084345522449233;2.9082005286638455;2.9071244569986403;-0.00018215825183709455;2.4971453826960754e-07;2.9071743481552117;2.906942031084034;2.90665446750232;-0.00018161040523673178;2.4879832531687907e-07;2.906702765845977;2.9064729905607205;nan;nan;nan;nan;nan
10;1;26;2.367814301731893;-0.0010594464932791037;4.607334524786566e-06;2.3678316520309246;2.3667550337197625;2.366669917326771;-0.001059118161766126;4.606158494402379e-06;2.366687706704763;2.3656105908509186;2.3669703773361084;-0.001071627052363855;4.73721943383687e-06;2.3669894411483074;2.3659017843747066;nan;nan;nan;nan;nan
10;1;27;0.9031227828415702;-0.0002740538290354477;3.865888041632015e-07;0.9031320414698383;0.9028487979783693;0.8971490506703736;-0.0002717703619081746;3.816896074482212e-07;0.8971579258221976;0.8968777162116061;0.8989136556039601;-0.0002686465724678899;3.8080586681199513e-07;0.898923412033906;0.8986449658899904;nan;nan;nan;nan;nan
10;1;28;1.3607421962633024;-0.00023220700505449665;2.4654050267969296e-07;1.360762849101512;1.3605098292869995;1.350596178290622;-0.00023012415472783987;2.4250795781222134e-07;1.3506154529461472;1.3503660434597071;1.3504620647452297;-0.00022433311656649968;2.397440651003002e-07;1.350483477538766;1.3502378784432907;nan;nan;nan;nan;nan
10;1;29;0.0006746405844401115;-3.5598851040763435e-05;4.952307356776223e-06;0.0006797842336914162;0.0006390083000354929;0.0005037582685701036;-2.437720993173076e-05;3.308060783916572e-06;0.000508594092797271;0.0004794249829054298;0.0005077641533622335;-2.422547699920674e-05;3.263565048334388e-06;0.0005127876878828763;0.00048353886278390545;nan;nan;nan;nan;nan
10;1;30;0.038022100830297695;-0.0014854019103225924;0.00012425139623950532;0.03802364265103292;0.036536381581460414;0.037849590975091274;-0.0014777875396880802;0.00012355190040375108;0.037851121435680535;0.03637182123573532;0.03864612761997724;-0.0015094230553689691;0.00012630889745168794;0.038647511800308315;0.037136709158495484;nan;nan;nan;nan;nan
10;1;31;0.0012377491864762058;-6.232582307755252e-05;7.625333180256641e-06;0.001243447970790984;0.0011755596875307195;0.0008171223323927834;-3.731332266435072e-05;4.404787573613483e-06;0.0008221246933179105;0.0007796872013270117;0.0008479029844006558;-3.8802659771325354e-05;4.574979103189394e-06;0.0008531341701047968;0.0008091053056459852;nan;nan;nan;nan;nan
10;2;0;4.876159522506317;-0.06227608402278173;0.020060952935438525;4.8767366781471075;4.813883438483426;4.875942279533963;-0.0622761362947819;0.020060953876479493;4.876519426856095;4.813666104852061;4.876043549654465;-0.0622761237030785;0.020060942603081056;4.876620690785228;4.813767446687978;nan;nan;nan;nan;nan
10;2;1;0.030789098805301007;-0.0012509835706752126;3.381463289653386e-07;0.033188932361597534;0.02953832207867374;0.030790188213363323;-0.0012511297468632554;3.3619863648581827e-07;0.03318958646901693;0.029538982521221557;0.030788148627359235;-0.0012513279988793924;3.3184663074392606e-07;0.0331872401606329;0.029536821624810694;nan;nan;nan;nan;nan
10;2;2;1.9342846936060443;-0.0050985792080295855;8.375515356817687e-07;1.9367782184790663;1.9291945945014528;1.932553908611038;-0.00509635052959756;8.316840672817349e-07;1.9350496074480181;1.9274580279690476;1.9340728484406542;-0.0051231477068623965;9.449308926434696e-07;1.93655174934156;1.928949448244362;nan;nan;nan;nan;nan
10;2;3;0.00040055237560072954;-0.00037596735790262903;0.0007670866539726262;0.000412661411446677;2.4578978847500377e-05;0.000399501685847653;-0.00037516938987042225;0.0007658190449433278;0.0004114439588199653;2.4332567460774723e-05;0.0004012502995870276;-0.0003768216232326038;0.0007691017824902335;0.0004132432136590425;2.4429438736289777e-05;nan;nan;nan;nan;nan
10;2;4;3.7931514104484787;-0.04143823474683228;0.012734220755167724;3.797657414468937;3.7517132102751867;3.7931603509197833;-0.041436265250530346;0.012733741807804178;3.797665903060283;3.751724029308212;3.79311991114417;-0.041435893516604816;0.012734208666536517;3.7976235259640374;3.75168413657512;nan;nan;nan;nan;nan
10;2;5;3.669802656542191;-0.03384242184552044;0.004648071548219335;3.6698216086754707;3.6348176813640842;3.68814630762237;-0.03459058695163225;0.004805202176772827;3.6881671036313035;3.6520328625300045;3.705993759534231;-0.0348638522864394;0.004890010768257458;3.7060218151615016;3.6687201055764183;nan;nan;nan;nan;nan
10;2;6;0.004482511176035819;-0.0006125803038890543;0.00017644129397192954;0.004506883711890841;0.003869926541765739;0.0044058365536222555;-0.0006032964757805848;0.00017416973437081595;0.004430347868056572;0.00380253858979257;0.004392388670366648;-0.000601434100254955;0.00017364316669135627;0.004416841094005058;0.003790955927826717;nan;nan;nan;nan;nan
10;2;7;1.1614707674245661e-05;-1.5541776571259547e-07;1.7732525295355295e-08;1.16170022654849e-05;1.1455250010006246e-05;9.75328647440099e-06;-1.4366386968944767e-07;1.7220839296228085e-08;9.757142172550637e-06;9.609625972961666e-06;9.883588964476608e-06;-1.397260535607181e-07;1.7026266216357833e-08;9.886406095171996e-06;9.74388892260869e-06;nan;nan;nan;nan;nan
10;2;8;2.228123939758353;-0.1858936879956244;0.09748082646946554;2.228482830324936;2.0423380372904054;2.1718007530613193;-0.17240228256122808;0.08723435700156945;2.172130423933968;1.9994244236787393;2.163706395822952;-0.17078818238983884;0.08600521641950942;2.1640268221490597;1.993051775466212;nan;nan;nan;nan;nan
10;2;9;1.7868137541608173;-0.053520669399819754;0.010427801735391817;1.787040057001068;1.7333680062784687;1.7733637458313503;-0.05238159840176676;0.010066583421589614;1.7735751731678107;1.7209182218310166;1.7542743708798973;-0.05063086508958753;0.009514711336199966;1.754474319060129;1.7035845511954988;nan;nan;nan;nan;nan
